source,appearance,color
CAPTAIN TYPHO,4.0,#808080
EMPEROR,6.0,#191970
SENATOR ASK AAK,3.0,#808080
ORN FREE TAA,3.0,#808080
MACE WINDU,12.0,#808080
YODA,12.0,#9ACD32
KI-ADI-MUNDI,3.0,#808080
BAIL ORGANA,3.0,#808080
JAR JAR,6.0,#9a9a00
OBI-WAN,33.0,#48D1CC
ANAKIN,39.0,#ce3b59
PADME,23.0,#DDA0DD
PK-4,2.0,#808080
SIO BIBBLE,2.0,#808080
SOLA,3.0,#808080
JOBAL,3.0,#808080
RUWEE,4.0,#808080
TAUN WE,7.0,#808080
LAMA SU,8.0,#808080
BOBA FETT,6.0,#808080
JANGO FETT,5.0,#808080
WATTO,2.0,#808080
C-3PO,9.0,#FFD700
OWEN,5.0,#808080
BERU,2.0,#808080
CLIEGG,3.0,#808080
SHMI,2.0,#808080
COUNT DOOKU,8.0,#808080
SUN RIT,3.0,#808080
POGGLE,3.0,#808080
NUTE GUNRAY,3.0,#808080
PLO KOON,2.0,#808080
